1:14:02 31% (2h46m left); send: 936346 277 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:03 31% (2h46m left); send: 936634 287 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:04 31% (2h46m left); send: 936919 284 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:05 31% (2h46m left); send: 937207 287 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:06 31% (2h46m left); send: 937500 292 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:07 31% (2h46m left); send: 937760 259 p/s (210 p/s avg); recv: 4027 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:08 31% (2h46m left); send: 937760 0 p/s (210 p/s avg); recv: 4027 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:09 31% (2h45m left); send: 937760 0 p/s (210 p/s avg); recv: 4027 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:10 31% (2h45m left); send: 937760 0 p/s (210 p/s avg); recv: 4027 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:11 31% (2h45m left); send: 937760 0 p/s (210 p/s avg); recv: 4027 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:12 31% (2h45m left); send: 937760 0 p/s (210 p/s avg); recv: 4027 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:13 31% (2h45m left); send: 937760 0 p/s (210 p/s avg); recv: 4027 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:14 31% (2h45m left); send: 937760 0 p/s (210 p/s avg); recv: 4027 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:15 31% (2h45m left); send: 937768 7 p/s (210 p/s avg); recv: 4027 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:16 31% (2h45m left); send: 938072 303 p/s (210 p/s avg); recv: 4027 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:17 31% (2h45m left); send: 938361 288 p/s (210 p/s avg); recv: 4027 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:18 31% (2h45m left); send: 938633 271 p/s (210 p/s avg); recv: 4027 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:19 31% (2h45m left); send: 938906 272 p/s (210 p/s avg); recv: 4029 1 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:20 31% (2h45m left); send: 939195 288 p/s (210 p/s avg); recv: 4034 4 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:21 31% (2h45m left); send: 939486 290 p/s (210 p/s avg); recv: 4038 3 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:22 31% (2h45m left); send: 939766 279 p/s (210 p/s avg); recv: 4043 4 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:23 31% (2h45m left); send: 940050 283 p/s (210 p/s avg); recv: 4048 4 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:24 31% (2h45m left); send: 940325 274 p/s (210 p/s avg); recv: 4053 4 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:25 31% (2h45m left); send: 940613 287 p/s (210 p/s avg); recv: 4057 3 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:26 31% (2h45m left); send: 940904 290 p/s (210 p/s avg); recv: 4060 2 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:27 31% (2h45m left); send: 941163 258 p/s (210 p/s avg); recv: 4065 4 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:28 31% (2h45m left); send: 941464 300 p/s (210 p/s avg); recv: 4069 3 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:29 31% (2h45m left); send: 941743 278 p/s (210 p/s avg); recv: 4075 5 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:30 31% (2h45m left); send: 942015 267 p/s (210 p/s avg); recv: 4079 3 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:31 31% (2h45m left); send: 942296 280 p/s (210 p/s avg); recv: 4086 6 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:32 31% (2h45m left); send: 942296 0 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:33 31% (2h45m left); send: 942296 0 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:34 31% (2h45m left); send: 942296 0 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:35 31% (2h45m left); send: 942552 255 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:36 31% (2h45m left); send: 942552 0 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:37 31% (2h45m left); send: 942552 0 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:38 31% (2h45m left); send: 942552 0 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:39 31% (2h45m left); send: 942684 131 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:40 31% (2h45m left); send: 942955 270 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:41 31% (2h45m left); send: 943240 284 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:42 31% (2h45m left); send: 943527 286 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:43 31% (2h45m left); send: 943813 285 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:44 31% (2h45m left); send: 944094 280 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:45 31% (2h45m left); send: 944383 288 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:46 31% (2h45m left); send: 944661 277 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:47 31% (2h45m left); send: 944949 287 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:48 31% (2h45m left); send: 945145 195 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:49 31% (2h45m left); send: 945145 0 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:50 31% (2h45m left); send: 945145 0 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:51 31% (2h45m left); send: 945145 0 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:52 31% (2h45m left); send: 945145 0 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:53 31% (2h45m left); send: 945428 282 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:54 31% (2h45m left); send: 945698 269 p/s (210 p/s avg); recv: 4086 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:55 31% (2h45m left); send: 945974 275 p/s (210 p/s avg); recv: 4089 2 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:56 31% (2h45m left); send: 946232 257 p/s (210 p/s avg); recv: 4092 2 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:57 31% (2h45m left); send: 946531 298 p/s (210 p/s avg); recv: 4095 2 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:58 31% (2h45m left); send: 946807 275 p/s (210 p/s avg); recv: 4095 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:59 31% (2h45m left); send: 947095 287 p/s (210 p/s avg); recv: 4100 4 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:15:00 31% (2h45m left); send: 947369 272 p/s (210 p/s avg); recv: 4103 2 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:15:01 31% (2h45m left); send: 947631 261 p/s (210 p/s avg); recv: 4103 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:15:02 31% (2h45m left); send: 947860 228 p/s (210 p/s avg); recv: 4103 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:15:03 31% (2h45m left); send: 947860 0 p/s (210 p/s avg); recv: 4103 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:15:04 31% (2h45m left); send: 947860 0 p/s (210 p/s avg); recv: 4103 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:15:05 31% (2h45m left); send: 947860 0 p/s (210 p/s avg); recv: 4103 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:15:06 31% (2h45m left); send: 947860 0 p/s (210 p/s avg); recv: 4103 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:15:07 31% (2h45m left); send: 947860 0 p/s (210 p/s avg); recv: 4103 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:15:08 31% (2h45m left); send: 947860 0 p/s (210 p/s avg); recv: 4103 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:15:09 31% (2h44m left); send: 947886 25 p/s (210 p/s avg); recv: 4103 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:15:10 31% (2h44m left); send: 948147 260 p/s (210 p/s avg); recv: 4103 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:15:11 31% (2h44m left); send: 948411 263 p/s (210 p/s avg); recv: 4103 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:15:12 31% (2h44m left); send: 948673 261 p/s (210 p/s avg); recv: 4103 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:15:13 31% (2h44m left); send: 948949 275 p/s (210 p/s avg); recv: 4107 3 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:15:14 31% (2h44m left); send: 949223 273 p/s (210 p/s avg); recv: 4111 3 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:15:15 31% (2h44m left); send: 949496 272 p/s (210 p/s avg); recv: 4116 4 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:15:16 31% (2h44m left); send: 949766 269 p/s (210 p/s avg); recv: 4122 5 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:15:17 31% (2h44m left); send: 950051 284 p/s (210 p/s avg); recv: 4126 3 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:15:18 31% (2h44m left); send: 950326 274 p/s (210 p/s avg); recv: 4130 3 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:15:19 31% (2h44m left); send: 950591 264 p/s (210 p/s avg); recv: 4135 4 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
